,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,year,num_teams,round_ratio,round,1st_round,gpg,apg,ppg,name,alias,league
51,52,Tampa Bay Lightning,Richard Panik\panikri01,SK,RW,18.0,2019.0,Trinec (Czech),342.0,61.0,66.0,127.0,3.0,178.0,,,,,,,2009,30,1.7,2,False,0.1783625730994152,0.19298245614035087,0.3713450292397661,Richard Panik,panikri01,Czech
52,53,Vancouver Canucks,Anton Rodin\rodinan01,SE,RW,18.0,2017.0,Brynas Gavle Jr. (Sweden-Jr.),3.0,0.0,1.0,1.0,1.0,0.0,,,,,,,2009,30,1.7333333333333334,2,False,0.0,0.3333333333333333,0.3333333333333333,Anton Rodin,rodinan01,Sweden-Jr.
53,54,New Jersey Devils,Eric Gelinas\geliner01,CA,D,18.0,2017.0,Lewiston (QMJHL),189.0,14.0,41.0,55.0,-16.0,92.0,,,,,,,2009,30,1.7666666666666666,2,False,0.07407407407407407,0.21693121693121692,0.291005291005291,Eric Gelinas,geliner01,QMJHL
54,55,Washington Capitals,Dmitry Orlov\orlovdm01,RU,D,18.0,2019.0,Novokuznetsk (KHL),374.0,30.0,95.0,125.0,47.0,138.0,,,,,,,2009,30,1.8,2,False,0.08021390374331551,0.2540106951871658,0.3342245989304813,Dmitry Orlov,orlovdm01,KHL
55,56,Columbus Blue Jackets,Kevin Lynch\lynchke01,US,C,18.0,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,2009,30,1.8333333333333333,2,False,,,,Kevin Lynch,lynchke01,USNTDP
56,57,San Jose Sharks,Taylor Doherty\doherta01,CA,D,18.0,,Kingston (OHL),,,,,,,,,,,,,2009,30,1.8666666666666667,2,False,,,,Taylor Doherty,doherta01,OHL
57,58,Toronto Maple Leafs,Jesse Blacker\blackje01,CA,D,18.0,2015.0,Windsor (OHL),1.0,0.0,0.0,0.0,-2.0,0.0,,,,,,,2009,30,1.9,2,False,0.0,0.0,0.0,Jesse Blacker,blackje01,OHL
58,59,Chicago Blackhawks,Brandon Pirri\pirribr01,CA,C,18.0,2018.0,Georgetown (OJHL),228.0,60.0,41.0,101.0,4.0,77.0,,,,,,,2009,30,1.9333333333333333,2,False,0.2631578947368421,0.17982456140350878,0.44298245614035087,Brandon Pirri,pirribr01,OJHL
59,60,Detroit Red Wings,Tomas Tatar\tatarto01,SK,C,18.0,2019.0,Zvolen (Slovakia),436.0,122.0,114.0,236.0,-1.0,148.0,,,,,,,2009,30,1.9666666666666666,2,False,0.2798165137614679,0.26146788990825687,0.5412844036697247,Tomas Tatar,tatarto01,Slovakia
60,61,Pittsburgh Penguins,Philip Samuelsson\samueph01,SE,D,18.0,2016.0,Chicago Steel (USHL),13.0,0.0,0.0,0.0,-4.0,2.0,,,,,,,2009,30,2.0,3,False,0.0,0.0,0.0,Philip Samuelsson,samueph01,USHL
61,62,New York Islanders,Anders Nilsson\nilssan01,SE,G,19.0,2019.0,Lulea Jr. (Sweden-Jr.),111.0,0.0,2.0,2.0,0.0,6.0,111.0,39.0,49.0,12.0,0.907,3.05,2009,30,2.033333333333333,3,False,0.0,0.018018018018018018,0.018018018018018018,Anders Nilsson,nilssan01,Sweden-Jr.
62,63,Pittsburgh Penguins,Ben Hanowski\hanowbe01,US,RW,18.0,2014.0,Little Falls (High-MN),16.0,1.0,2.0,3.0,-2.0,2.0,,,,,,,2009,30,2.066666666666667,3,False,0.0625,0.125,0.1875,Ben Hanowski,hanowbe01,High-MN
63,64,Colorado Avalanche,Tyson Barrie\barrity01,CA,D,18.0,2019.0,Kelowna (WHL),416.0,61.0,192.0,253.0,-53.0,131.0,,,,,,,2009,30,2.1,3,False,0.1466346153846154,0.46153846153846156,0.6081730769230769,Tyson Barrie,barrity01,WHL
64,65,Montreal Canadiens,Joonas Nattinen\nattijo01,FI,C,18.0,2014.0,Blues Espoo Jr. (Finland-Jr.),1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2009,30,2.1333333333333333,3,False,0.0,0.0,0.0,Joonas Nattinen,nattijo01,Finland-Jr.
65,66,Buffalo Sabres,Brayden McNabb\mcnabbr01,CA,D,18.0,2019.0,Kootenay (WHL),323.0,12.0,53.0,65.0,49.0,273.0,,,,,,,2009,30,2.1666666666666665,3,False,0.03715170278637771,0.16408668730650156,0.20123839009287925,Brayden McNabb,mcnabbr01,WHL
66,67,Florida Panthers,Josh Birkholz\birkhjo01,US,RW,18.0,,Fargo (USHL),,,,,,,,,,,,,2009,30,2.2,3,False,,,,Josh Birkholz,birkhjo01,USHL
67,68,Toronto Maple Leafs,Jamie Devane\devanja01,CA,LW,18.0,2014.0,Plymouth (OHL),2.0,0.0,0.0,0.0,-1.0,0.0,,,,,,,2009,30,2.2333333333333334,3,False,0.0,0.0,0.0,Jamie Devane,devanja01,OHL
68,69,Dallas Stars,Reilly Smith\smithre01,CA,RW,18.0,2019.0,St. Michael's (OJHL),441.0,100.0,152.0,252.0,72.0,116.0,,,,,,,2009,30,2.2666666666666666,3,False,0.22675736961451248,0.34467120181405897,0.5714285714285714,Reilly Smith,smithre01,OJHL
69,70,Nashville Predators,Taylor Beck\beckta01,CA,RW,18.0,2017.0,Guelph (OHL),92.0,11.0,12.0,23.0,-9.0,32.0,,,,,,,2009,30,2.3,3,False,0.11956521739130435,0.13043478260869565,0.25,Taylor Beck,beckta01,OHL
70,71,Edmonton Oilers,Troy Hesketh\hesketr01,US,D,18.0,,Minnetonka (High-MN),,,,,,,,,,,,,2009,30,2.3333333333333335,3,False,,,,Troy Hesketh,hesketr01,High-MN
71,72,Nashville Predators,Michael Latta\lattami01,CA,C,18.0,2016.0,Guelph (OHL),113.0,4.0,13.0,17.0,4.0,130.0,,,,,,,2009,30,2.3666666666666667,3,False,0.035398230088495575,0.11504424778761062,0.1504424778761062,Michael Latta,lattami01,OHL
